CPU Name,No. Sockets,Cores,CPU Mark,Thread Mark,TDP (W),Power Performance,Category
AArch64,1,4,833,368,NA,NA,Mobile/Embedded
AArch64 rev 2 (aarch64),1,8,"2,383",901,NA,NA,Mobile/Embedded
AArch64 rev 4 (aarch64),1,8,"1,813",588,NA,NA,Mobile/Embedded
AC8257V/WAB,1,8,788,485,NA,NA,Unknown
AC8259V/WAB,1,8,990,512,NA,NA,Mobile/Embedded
Allwinner A133,1,4,667,411,NA,NA,Mobile/Embedded
Allwinner A523,1,8,"1,900",588,NA,NA,Mobile/Embedded
Allwinner A527,1,8,"2,297",678,NA,NA,Mobile/Embedded
Allwinner H618,1,4,617,395,NA,NA,Mobile/Embedded
AMD 3015Ce,1,2,"2,099","1,337",6,349.82,Mobile/Embedded
AMD 3015e,1,2,"2,724","1,353",6,454.03,Laptop
AMD 3020e,1,2,"2,448","1,416",6,408,Laptop
AMD 4700S,1,8,"17,925","2,371",NA,NA,Desktop
AMD A10 Micro-6700T APU,1,4,"1,426",722,5,285.29,Laptop
AMD A10 PRO-7350B APU,1,4,"1,915",917,19,100.77,Laptop
AMD A10 PRO-7800B APU,1,2,"3,319","1,493",65,51.05,Desktop
AMD A10 PRO-7850B APU,1,2,"3,453","1,572",95,36.34,Desktop
AMD A10-4600M APU,1,2,"1,938","1,080",35,55.37,Laptop
AMD A10-4655M APU,1,2,"1,658",909,25,66.31,Laptop
AMD A10-4657M APU,1,4,"1,759",940,35,50.27,Laptop
AMD A10-5700 APU,1,2,"2,741","1,430",65,42.17,Desktop
AMD A10-5745M APU,1,4,"1,775",949,25,71.01,Laptop
AMD A10-5750M APU,1,4,"2,044","1,161",35,58.4,Laptop
AMD A10-5757M APU,1,4,"1,998","1,151",35,57.09,Laptop
AMD A10-5800B APU,1,2,"3,034","1,579",100,30.34,Desktop
AMD A10-5800K APU,1,2,"2,960","1,493",100,29.6,Desktop
AMD A10-6700 APU,1,4,"3,104","1,604",65,47.75,Desktop
AMD A10-6700T APU,1,2,"2,299","1,290",45,51.08,Desktop
AMD A10-6790K APU,1,2,"3,071","1,551",100,30.71,Desktop
AMD A10-6800B APU,1,2,"3,106","1,654",100,31.06,Desktop
AMD A10-6800K APU,1,2,"3,189","1,596",100,31.89,Desktop
AMD A10-7300 APU,1,4,"1,739",861,19,91.52,Laptop
AMD A10-7400P,1,4,"2,078","1,033",35,59.36,Laptop
AMD A10-7700K APU,1,2,"3,203","1,435",95,33.72,Desktop
AMD A10-7800 APU,1,2,"3,208","1,462",65,49.36,Desktop
AMD A10-7850K APU,1,2,"3,393","1,497",95,35.71,Desktop
AMD A10-7860K,1,2,"3,281","1,498",65,50.47,Desktop
AMD A10-7870K,1,2,"3,442","1,506",95,36.23,Desktop
AMD A10-7890K,1,2,"3,519","1,570",95,37.05,Desktop
AMD A10-8700P,1,2,"2,245","1,146",35,64.14,Laptop
AMD A10-8750,1,2,"3,228","1,516",65,49.67,Desktop
AMD A10-8850,1,2,"3,438","1,608",NA,NA,Desktop
AMD A10-9600P,1,4,"2,339","1,148",15,155.92,Laptop
AMD A10-9620P,1,4,"2,540","1,269",15,169.35,Laptop
AMD A10-9630P,1,4,"2,909","1,397",35,83.12,Laptop
AMD A10-9700,1,4,"3,551","1,618",65,54.64,Desktop
AMD A10-9700E,1,4,"3,211","1,493",35,91.75,Desktop
AMD A12-9700P,1,4,"2,437","1,214",15,162.49,Laptop
AMD A12-9720P,1,4,"2,661","1,317",15,177.38,Laptop
AMD A12-9730P,1,4,"2,980","1,386",35,85.14,Laptop
AMD A12-9800,1,2,"3,597","1,668",65,55.34,Desktop
AMD A12-9800E,1,4,"3,471","1,617",35,99.18,Desktop
AMD A4 Micro-6400T APU,1,4,"1,082",540,4.5,240.51,Laptop
AMD A4 PRO-3340B,1,4,"1,645",676,25,65.79,Laptop
AMD A4 PRO-7300B APU,1,1,"1,458","1,445",65,22.43,Desktop
AMD A4 PRO-7350B,1,1,"1,544","1,438",65,23.75,Desktop
AMD A4-1200 APU,1,2,369,303,3.9,94.69,Laptop
AMD A4-1250 APU,1,2,406,329,8,50.78,Laptop
AMD A4-1350 APU,1,4,911,345,8,113.91,Laptop
AMD A4-3300 APU,1,2,942,973,65,14.5,Desktop
AMD A4-3300M APU,1,2,714,790,65,10.99,Laptop
AMD A4-3305M APU,1,2,758,837,35,21.67,Laptop
AMD A4-3310MX APU,1,2,782,832,45,17.38,Laptop
AMD A4-3320M APU,1,2,668,708,35,19.07,Laptop
AMD A4-3330MX APU,1,2,756,908,45,16.8,Laptop
AMD A4-3400 APU,1,2,"1,086","1,082",65,16.71,Desktop
AMD A4-3420 APU,1,2,"1,054","1,113",65,16.21,Desktop
AMD A4-4000 APU,1,1,"1,143","1,134",65,17.59,Desktop
AMD A4-4020 APU,1,2,"1,268","1,220",65,19.51,Desktop
AMD A4-4300M APU,1,1,"1,000","1,014",35,28.56,Laptop
AMD A4-4355M APU,1,2,806,813,17,47.41,Laptop
AMD A4-5000 APU,1,4,"1,297",508,15,86.44,Laptop
AMD A4-5050 APU,1,4,"1,328",538,13.5,98.37,Laptop
AMD A4-5100 APU,1,4,"1,346",540,15,89.72,Laptop
AMD A4-5150M APU,1,2,765,800,35,21.85,Laptop
AMD A4-5300 APU,1,2,"1,365","1,336",65,20.99,Desktop
AMD A4-5300B APU,1,2,"1,243","1,233",65,19.12,Desktop
AMD A4-6210 APU,1,4,"1,499",610,15,99.95,Laptop
AMD A4-6250J APU,1,4,"1,656",698,25,66.25,"Laptop, Mobile/Embedded"
AMD A4-6300 APU,1,1,"1,426","1,403",65,21.93,Desktop
AMD A4-6300B APU,1,1,"1,328","1,373",65,20.43,Desktop
AMD A4-6320 APU,1,1,"1,530","1,529",65,23.54,Desktop
AMD A4-7210 APU,1,4,"1,656",725,25,66.24,Laptop
AMD A4-7300 APU,1,1,"1,529","1,477",65,23.52,Desktop
AMD A4-9120,1,2,"1,224","1,046",15,81.62,Laptop
AMD A4-9120C,1,2,852,891,6,141.93,Laptop
AMD A4-9120e,1,2,849,743,NA,NA,Laptop
AMD A4-9125,1,2,"1,210","1,041",15,80.66,Laptop
AMD A6 Micro-6500T APU,1,4,"1,146",630,NA,NA,Laptop
AMD A6 PRO-7050B APU,1,2,"1,009",875,17,59.34,Laptop
AMD A6 PRO-7400B,1,1,"1,696","1,505",65,26.09,Desktop
AMD A6-1450 APU,1,4,"1,045",458,8,130.62,Laptop
AMD A6-3400M APU,1,4,"1,191",691,35,34.02,Laptop
AMD A6-3410MX APU,1,4,"1,263",732,45,28.06,Laptop
AMD A6-3420M APU,1,4,"1,294",773,35,36.96,Laptop
AMD A6-3430MX APU,1,4,"1,448",822,45,32.18,Laptop
AMD A6-3500 APU,1,3,"1,420",963,65,21.85,Desktop
AMD A6-3600 APU,1,4,"1,697",909,65,26.11,Desktop
AMD A6-3620 APU,1,4,"1,851",985,65,28.48,Desktop
AMD A6-3650 APU,1,4,"2,070","1,038",100,20.7,Desktop
AMD A6-3670 APU,1,4,"2,171","1,144",100,21.71,Desktop
AMD A6-4400M APU,1,1,"1,010","1,027",35,28.86,Laptop
AMD A6-4455M APU,1,1,793,786,17,46.64,Laptop
AMD A6-5200 APU,1,4,"1,665",664,25,66.61,Laptop
AMD A6-5345M APU,1,2,"1,122","1,094",17,65.97,Laptop
AMD A6-5350M APU,1,2,"1,232","1,236",35,35.19,Laptop
AMD A6-5357M APU,1,2,"1,165","1,243",35,33.3,Laptop
AMD A6-5400B APU,1,1,"1,459","1,408",65,22.45,Desktop
AMD A6-5400K APU,1,1,"1,270","1,272",65,19.54,Desktop
AMD A6-6310 APU,1,4,"1,675",741,15,111.65,Laptop
AMD A6-6400B APU,1,1,"1,616","1,608",65,24.85,Desktop
AMD A6-6400K APU,1,1,"1,501","1,449",65,23.1,Desktop
AMD A6-6420B APU,1,1,"1,550","1,629",65,23.84,Desktop
AMD A6-6420K APU,1,2,"1,576","1,553",65,24.24,Desktop
AMD A6-7000,1,2,"1,010",857,17,59.4,Laptop
AMD A6-7310 APU,1,4,"1,724",775,25,68.96,Laptop
AMD A6-7400K APU,1,2,"1,634","1,440",65,25.13,Desktop
AMD A6-7470K,1,1,"1,799","1,576",65,27.68,Desktop
AMD A6-7480,1,2,"1,836","1,558",65,28.24,Desktop
AMD A6-8500P,1,2,"1,445","1,253",15,96.32,Laptop
AMD A6-8550,1,2,"1,604","1,474",65,24.68,Desktop
AMD A6-9200,1,2,"1,116",970,10,111.55,Laptop
AMD A6-9210,1,2,"1,230","1,076",15,82.02,Laptop
AMD A6-9220,1,2,"1,280","1,135",15,85.32,Laptop
AMD A6-9220C,1,2,"1,053",995,6,175.46,Laptop
AMD A6-9220e,1,2,977,863,NA,NA,Laptop
AMD A6-9225,1,2,"1,329","1,157",15,88.57,Laptop
AMD A6-9230,1,2,"1,303","1,124",15,86.86,Desktop
AMD A6-9400,1,2,"2,717","1,664",10,271.7,Laptop
AMD A6-9500,1,2,"1,869","1,624",65,28.75,Desktop
AMD A6-9500E,1,2,"1,756","1,347",35,50.17,Desktop
AMD A8 PRO-7150B APU,1,4,"1,528",763,19,80.45,Laptop
AMD A8 PRO-7600B APU,1,4,"2,962","1,387",65,45.57,Desktop
AMD A8-3500M APU,1,4,"1,400",813,35,40.01,Laptop
AMD A8-3510MX APU,1,4,"1,614",890,45,35.87,Laptop
AMD A8-3520M APU,1,4,"1,448",845,35,41.37,Laptop
AMD A8-3530MX APU,1,4,"1,608",938,45,35.74,Laptop
AMD A8-3550MX APU,1,4,"1,687",962,45,37.5,Laptop
AMD A8-3800 APU,1,4,"2,049","1,068",65,31.52,Desktop
AMD A8-3820 APU,1,4,"2,174","1,131",65,33.44,Desktop
AMD A8-3850 APU,1,4,"2,374","1,214",100,23.74,Desktop
AMD A8-3870K APU,1,4,"2,319","1,210",100,23.19,Desktop
AMD A8-4500M APU,1,2,"1,683",919,35,48.08,Laptop
AMD A8-4555M APU,1,2,"1,331",789,19,70.03,Laptop
AMD A8-5500 APU,1,2,"2,610","1,336",65,40.15,Desktop
AMD A8-5500B APU,1,2,"2,612","1,327",65,40.19,Desktop
AMD A8-5545M APU,1,4,"1,567",832,19,82.49,Laptop
AMD A8-5550M APU,1,4,"1,862","1,036",35,53.21,Laptop
AMD A8-5557M APU,1,4,"1,801","1,037",35,51.45,Laptop
AMD A8-5600K APU,1,4,"2,854","1,430",100,28.54,Desktop
AMD A8-6410 APU,1,4,"1,771",783,15,118.08,Laptop
AMD A8-6500 APU,1,2,"2,822","1,473",65,43.41,Desktop
AMD A8-6500B APU,1,2,"2,876","1,500",65,44.25,Desktop
AMD A8-6500T APU,1,2,"1,929","1,111",45,42.87,Desktop
AMD A8-6600K APU,1,2,"3,007","1,538",100,30.07,Desktop
AMD A8-7050,1,2,"1,152",945,15,76.77,Laptop
AMD A8-7100 APU,1,4,"1,638",840,19,86.22,Laptop
AMD A8-7200P,1,4,"2,154","1,054",35,61.55,Laptop
AMD A8-7410 APU,1,4,"1,816",805,25,72.64,Laptop
AMD A8-7500,1,2,"3,425","1,403",65,52.69,Desktop
AMD A8-7600 APU,1,2,"3,215","1,447",65,49.46,Desktop
AMD A8-7650K,1,2,"3,129","1,405",65,48.13,Desktop
