CPU Name,No. Sockets,Cores,CPU Mark,Thread Mark,TDP (W),Power Performance,Category
AMD 3015Ce,1,2,2099,1337,6,349.83,Mobile/Embedded
AMD 3015e,1,2,2724,1353,6,454,Laptop
AMD 3020e,1,2,2448,1416,6,408,Laptop
AMD A10 Micro-6700T APU,1,4,1426,722,5,285.2,Laptop
AMD A10 PRO-7350B APU,1,4,1915,917,19,100.79,Laptop
AMD A10 PRO-7800B APU,1,2,3319,1493,65,51.06,Desktop
AMD A10 PRO-7850B APU,1,2,3453,1572,95,36.35,Desktop
AMD A10-4600M APU,1,2,1938,1080,35,55.37,Laptop
AMD A10-4655M APU,1,2,1658,909,25,66.32,Laptop
AMD A10-4657M APU,1,4,1759,940,35,50.26,Laptop
AMD A10-5700 APU,1,2,2741,1430,65,42.17,Desktop
AMD A10-5745M APU,1,4,1775,949,25,71,Laptop
AMD A10-5750M APU,1,4,2044,1161,35,58.4,Laptop
AMD A10-5757M APU,1,4,1998,1151,35,57.09,Laptop
AMD A10-5800B APU,1,2,3034,1579,100,30.34,Desktop
AMD A10-5800K APU,1,2,2960,1493,100,29.6,Desktop
AMD A10-6700 APU,1,4,3104,1604,65,47.75,Desktop
AMD A10-6700T APU,1,2,2299,1290,45,51.09,Desktop
AMD A10-6790K APU,1,2,3071,1551,100,30.71,Desktop
AMD A10-6800B APU,1,2,3106,1654,100,31.06,Desktop
AMD A10-6800K APU,1,2,3189,1596,100,31.89,Desktop
AMD A10-7300 APU,1,4,1739,861,19,91.53,Laptop
AMD A10-7400P,1,4,2078,1033,35,59.37,Laptop
AMD A10-7700K APU,1,2,3203,1435,95,33.72,Desktop
AMD A10-7800 APU,1,2,3208,1462,65,49.35,Desktop
AMD A10-7850K APU,1,2,3393,1497,95,35.72,Desktop
AMD A10-7860K,1,2,3281,1498,65,50.48,Desktop
AMD A10-7870K,1,2,3442,1506,95,36.23,Desktop
AMD A10-7890K,1,2,3519,1570,95,37.04,Desktop
AMD A10-8700P,1,2,2245,1146,35,64.14,Laptop
AMD A10-8750,1,2,3228,1516,65,49.66,Desktop
AMD A10-9600P,1,4,2339,1148,15,155.93,Laptop
AMD A10-9620P,1,4,2540,1269,15,169.33,Laptop
AMD A10-9630P,1,4,2909,1397,35,83.11,Laptop
AMD A10-9700,1,4,3551,1618,65,54.63,Desktop
AMD A10-9700E,1,4,3211,1493,35,91.74,Desktop
AMD A12-9700P,1,4,2437,1214,15,162.47,Laptop
AMD A12-9720P,1,4,2661,1317,15,177.4,Laptop
AMD A12-9730P,1,4,2980,1386,35,85.14,Laptop
AMD A12-9800,1,2,3597,1668,65,55.34,Desktop
AMD A12-9800E,1,4,3471,1617,35,99.17,Desktop
AMD A4 Micro-6400T APU,1,4,1082,540,4.5,240.44,Laptop
AMD A4 PRO-3340B,1,4,1645,676,25,65.8,Laptop
AMD A4 PRO-7300B APU,1,1,1458,1445,65,22.43,Desktop
AMD A4 PRO-7350B,1,1,1544,1438,65,23.75,Desktop
AMD A4-1200 APU,1,2,369,303,3.9,94.62,Laptop
AMD A4-1250 APU,1,2,406,329,8,50.75,Laptop
AMD A4-1350 APU,1,4,911,345,8,113.88,Laptop
AMD A4-3300 APU,1,2,942,973,65,14.49,Desktop
AMD A4-3300M APU,1,2,714,790,65,10.98,Laptop
AMD A4-3305M APU,1,2,758,837,35,21.66,Laptop
AMD A4-3310MX APU,1,2,782,832,45,17.38,Laptop
AMD A4-3320M APU,1,2,668,708,35,19.09,Laptop
AMD A4-3330MX APU,1,2,756,908,45,16.8,Laptop
