,CPU Name,Predicted CPU Mark,Actual CPU Mark,Accuracy (%)
0,Intel Core i5-655K @ 3.20GHz,1623.045,2017,73.85159010600707
1,Intel Pentium E6500 @ 2.93GHz,1267.899,1172,73.85159010600707
2,[Dual CPU] Intel Xeon Platinum 8380 @ 2.30GHz,82802.6795,91257,73.85159010600707
3,Intel Xeon E5-4620 @ 2.20GHz,6937.6525,7037,73.85159010600707
4,AMD PRO A8-8650B,3251.9545,3211,73.85159010600707
5,Intel Xeon E5-2667 v2 @ 3.30GHz,13452.0635,12266,73.85159010600707
6,Intel Xeon w5-2455X,34419.105,37918,73.85159010600707
7,Intel Core i3-5157U @ 2.50GHz,3130.596,2593,73.85159010600707
8,Intel Xeon E5-2687W @ 3.10GHz,9155.082,9996,73.85159010600707
9,Intel Core i5-14600KF,43671.2885,39329,73.85159010600707
10,AMD A8-9600,3214.417,3304,73.85159010600707
11,Intel Xeon E3-1270 v6 @ 3.80GHz,8000.1185,8931,73.85159010600707
12,Intel Atom x5-Z8350 @ 1.44GHz,813.2225,891,73.85159010600707
13,Intel Core i5-1240P,15375.653,17157,73.85159010600707
14,AMD Ryzen 3 3200U,3767.7185,3795,73.85159010600707
15,[Quad CPU] Intel Xeon E7320 @ 2.13GHz,2753.7955,5286,73.85159010600707
16,Intel Core i5-8300H @ 2.30GHz,7654.986,7467,73.85159010600707
17,Intel Xeon Phi 7210 @ 1.30GHz,4182.8325,7306,73.85159010600707
18,Intel Celeron 7305E,1774.813,2404,73.85159010600707
19,AMD A4 PRO-7300B APU,1560.3085,1458,73.85159010600707
20,Intel Pentium J4205 @ 1.50GHz,2179.4905,2406,73.85159010600707
21,Intel Core i5-1335U,17871.0125,14769,73.85159010600707
22,AMD A10-7400P,2121.6735,2078,73.85159010600707
23,AMD EPYC 8124P,42222.9195,36470,73.85159010600707
24,Intel Core i7-13700,37652.6395,37037,73.85159010600707
25,AMD Ryzen 5 PRO 5650GE,20109.3915,18382,73.85159010600707
26,AMD A9-9400,2164.923,1363,73.85159010600707
27,AMD Ryzen 9 8945HS,30870.3625,29414,73.85159010600707
28,AMD Athlon X2 250,1071.936,855,73.85159010600707
29,AMD E1-7010 APU,787.9355,592,73.85159010600707
30,[Dual CPU] Intel Xeon E5-2630L v3 @ 1.80GHz,10957.6285,14759,73.85159010600707
31,Intel Atom N475 @ 1.83GHz,214.1875,179,73.85159010600707
32,Intel Xeon D-1747NTE @ 2.50GHz,23198.0025,20279,73.85159010600707
33,[Dual CPU] Intel Xeon E5-2697 v3 @ 2.60GHz,24412.778,26746,73.85159010600707
34,AMD EPYC 7313P,38147.856,41657,73.85159010600707
35,Intel Core i3-2340UE @ 1.30GHz,817.4035,976,73.85159010600707
36,[Dual CPU] Intel Xeon E5-2637 v2 @ 3.50GHz,12207.8435,12040,73.85159010600707
37,[Dual CPU] Intel Xeon E5-2620 v2 @ 2.10GHz,10519.8785,10843,73.85159010600707
38,Intel Core Ultra 5 135U,20760.0585,17672,73.85159010600707
39,AMD Ryzen 3 PRO 4350G,11078.1935,10921,73.85159010600707
40,Intel Core i5-560UM @ 1.33GHz,1037.349,1015,73.85159010600707
41,Intel Celeron G1620 @ 2.70GHz,1541.296,1560,73.85159010600707
42,AMD EPYC 7402P,48705.543,44068,73.85159010600707
43,AMD Ryzen 5 4600G,14531.421,16071,73.85159010600707
44,Intel Core i7-2675QM @ 2.20GHz,3103.0615,3828,73.85159010600707
45,Intel Pentium 3556U @ 1.70GHz,1187.9405,1058,73.85159010600707
46,Intel Core2 Duo P7350 @ 2.00GHz,742.7465,748,73.85159010600707
47,AMD Athlon II X4 641 Quad-Core,2088.815,2313,73.85159010600707
48,Intel Xeon W-3375 @ 2.50GHz,60147.9735,59069,73.85159010600707
49,Intel Core i5-8600T @ 2.30GHz,9391.4915,9340,73.85159010600707
50,AMD PRO A10-8770,2994.818,3572,73.85159010600707
51,Intel Atom C2550 @ 2.40GHz,904.0665,1422,73.85159010600707
52,Intel Pentium E6700 @ 3.20GHz,1386.989,1182,73.85159010600707
53,Intel Core i5-6200U @ 2.30GHz,3585.608,2995,73.85159010600707
54,Intel Core i3-13100T,20441.453,13054,73.85159010600707
55,Intel Xeon E-2436,21356.5805,22398,73.85159010600707
56,[Dual CPU] Intel Xeon Platinum 8280 @ 2.70GHz,63539.9405,64291,73.85159010600707
57,AMD A6-6420B APU,1922.134,1550,73.85159010600707
58,Intel Xeon w5-2545,47199.646,41688,73.85159010600707
59,Intel Xeon Gold 6448Y,56044.9975,60449,73.85159010600707
60,AMD A4-5300 APU,1326.664,1365,73.85159010600707
61,AMD Ryzen 7 2700,11747.647,15699,73.85159010600707
62,AMD Athlon 64 FX-62 Dual Core,1540.576,993,73.85159010600707
63,Intel Core i7-1060NG7 @ 1.20GHz,4967.89,6521,73.85159010600707
64,AMD Athlon II Neo N36L Dual-Core,630.5405,487,73.85159010600707
65,Intel Xeon E5-2679 v4 @ 2.50GHz,27375.169,24131,73.85159010600707
