,CPU Name,No. Sockets,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Performance,Test Date,Socket,Category
1,AArch64,1,4,NA,833,NA,368,NA,NA,NA,Mar 2024,Unknown,Mobile/Embedded
2,AArch64 rev 2 (aarch64),1,8,NA,"2,383",NA,901,NA,NA,NA,Feb 2021,Unknown,Mobile/Embedded
3,AArch64 rev 4 (aarch64),1,8,NA,"1,813",NA,588,NA,NA,NA,Jan 2021,Unknown,Mobile/Embedded
4,AC8257V/WAB,1,8,NA,788,NA,485,NA,NA,NA,Jan 2021,Unknown,Unknown
5,AC8259V/WAB,1,8,NA,990,NA,512,NA,NA,NA,Mar 2024,Unknown,Mobile/Embedded
6,Allwinner A133,1,4,NA,667,NA,411,NA,NA,NA,May 2023,Unknown,Mobile/Embedded
7,Allwinner A523,1,8,NA,"1,900",NA,588,NA,NA,NA,Aug 2023,Unknown,Mobile/Embedded
8,Allwinner A527,1,8,NA,"2,297",NA,678,NA,NA,NA,Jul 2023,Unknown,Mobile/Embedded
9,Allwinner H618,1,4,NA,617,NA,395,NA,NA,NA,Jun 2023,Unknown,Mobile/Embedded
10,AMD 3015Ce,1,2,NA,"2,099",NA,"1,337",NA,6,349.82,Jul 2021,FT5,Mobile/Embedded
11,AMD 3015e,1,2,NA,"2,724",NA,"1,353",NA,6,454.03,Jul 2020,Unknown,Laptop
12,AMD 3020e,1,2,NA,"2,448",NA,"1,416",NA,6,408.00,Jun 2020,Unknown,Laptop
13,AMD 4700S,1,8,NA,"17,925",NA,"2,371",NA,NA,NA,Apr 2021,Unknown,Desktop
14,AMD A10 Micro-6700T APU,1,4,NA,"1,426",NA,722,NA,5,285.29,May 2015,FT3b,Laptop
15,AMD A10 PRO-7350B APU,1,4,NA,"1,915",NA,917,NA,19,100.77,Jun 2014,FP3,Laptop
16,AMD A10 PRO-7800B APU,1,2,NA,"3,319",NA,"1,493",NA,65,51.05,Oct 2014,FM2+,Desktop
17,AMD A10 PRO-7850B APU,1,2,$148.02*,"3,453",23.33,"1,572",10.62,95,36.34,Nov 2014,FM2+,Desktop
18,AMD A10-4600M APU,1,2,$72.02*,"1,938",26.91,"1,080",14.99,35,55.37,Apr 2012,FS1r2,Laptop
19,AMD A10-4655M APU,1,2,NA,"1,658",NA,909,NA,25,66.31,Jul 2012,FP2,Laptop
20,AMD A10-4657M APU,1,4,NA,"1,759",NA,940,NA,35,50.27,May 2013,FP2,Laptop
21,AMD A10-5700 APU,1,2,$68.02*,"2,741",40.29,"1,430",21.02,65,42.17,Jun 2012,FM2,Desktop
22,AMD A10-5745M APU,1,4,NA,"1,775",NA,949,NA,25,71.01,Jul 2013,FP2,Laptop
23,AMD A10-5750M APU,1,4,$78.02*,"2,044",26.20,"1,161",14.88,35,58.40,May 2013,FS1r2,Laptop
24,AMD A10-5757M APU,1,4,NA,"1,998",NA,"1,151",NA,35,57.09,Jul 2013,FP2,Laptop
25,AMD A10-5800B APU,1,2,$44.99*,"3,034",67.43,"1,579",35.10,100,30.34,Jul 2013,FM2,Desktop
26,AMD A10-5800K APU,1,2,$20.86*,"2,960",141.91,"1,493",71.59,100,29.60,Oct 2012,FM2,Desktop
27,AMD A10-6700 APU,1,4,$108.02*,"3,104",28.73,"1,604",14.85,65,47.75,Jun 2013,FM2,Desktop
28,AMD A10-6700T APU,1,2,$88.02,"2,299",26.12,"1,290",14.66,45,51.08,Jun 2014,FM2,Desktop
29,AMD A10-6790K APU,1,2,$42.00*,"3,071",73.12,"1,551",36.93,100,30.71,Dec 2013,FM2,Desktop
30,AMD A10-6800B APU,1,2,$128.02*,"3,106",24.26,"1,654",12.92,100,31.06,Feb 2014,FM2,Desktop
31,AMD A10-6800K APU,1,2,$47.28,"3,189",67.45,"1,596",33.76,100,31.89,Jun 2013,FM2,Desktop
32,AMD A10-7300 APU,1,4,NA,"1,739",NA,861,NA,19,91.52,Jul 2014,FP3,Laptop
33,AMD A10-7400P,1,4,NA,"2,078",NA,"1,033",NA,35,59.36,Dec 2014,FP3,Laptop
34,AMD A10-7700K APU,1,2,$128.02,"3,203",25.02,"1,435",11.21,95,33.72,Jan 2014,FM2+,Desktop
35,AMD A10-7800 APU,1,2,$49.99,"3,208",64.18,"1,462",29.25,65,49.36,Jun 2014,FM2+,Desktop
36,AMD A10-7850K APU,1,2,$69.99,"3,393",48.47,"1,497",21.39,95,35.71,Jan 2014,FM2+,Desktop
37,AMD A10-7860K,1,2,$53.19*,"3,281",61.68,"1,498",28.16,65,50.47,Mar 2016,FM2+,Desktop
38,AMD A10-7870K,1,2,$517.20*,"3,442",6.65,"1,506",2.91,95,36.23,Jun 2015,FM2+,Desktop
39,AMD A10-7890K,1,2,$136.17*,"3,519",25.85,"1,570",11.53,95,37.05,Apr 2016,FM2+,Desktop
40,AMD A10-8700P,1,2,NA,"2,245",NA,"1,146",NA,35,64.14,Jul 2015,FP4,Laptop
