[Dual CPU] AMD EPYC 9174F,16,90483,3439,320,NA,Server
AMD EPYC 7R13 64-Core,48,82158,2752,NA,NA,Server
ARM Neoverse-V2 72 Core 3465 MHz,72,57369,2328,NA,NA,Server
AMD EPYC 9174F,16,55485,3318,320,NA,Server
Intel Xeon D-2775TE @ 2.00GHz,16,27299,2203,100,NA,Server
AMD Ryzen 5 PRO 7645,6,27106,3901,65,NA,Server
ARM Neoverse-N1 64 Core 2200 MHz,64,20250,917,NA,NA,Server
Intel CC150 @ 3.50GHz,8,14459,2155,NA,NA,Server
,,,,,NA,
Hygon C86 3350 8-core,8,12292,1741,NA,NA,Desktop
,,,,,NA,
ARM Firestorm-M1-Pro 8 Core 2064 MHz,8,9872,2999,NA,NA,Desktop
ZHAOXIN KaiXian KX-7000,8,9450,1523,NA,NA,Desktop
Intel Core i5-3170K @ 3.20GHz,4,8882,2510,NA,NA,Desktop
Intel Xeon @ 2.00GHz,6,7363,939,NA,NA,Server
AMD EPYC 3101 4-Core,4,6050,1787,NA,NA,Server
ARM Cortex-X1C 4 Core 2438 MHz,4,6007,1244,NA,NA,Mobile/Embedded
ARM Neoverse-N2 8 Core 2500 MHz,8,5544,1361,NA,NA,Server
ARM Phytium D3000 8 Core 2500 MHz,8,5528,1247,NA,NA,Server
Intel Core i5-760S @ 2.53GHz,4,5440,1578,NA,NA,Desktop
Intel Core i7-985 @ 3.47GHz,4,3928,1579,NA,NA,Desktop
,,,,,NA,
ZHAOXIN KaiXian KX-U6780@2.7GHz,8,3693,851,NA,NA,Desktop
ZHAOXIN KaiXian KX-U6780A@2.7GHz,8,3643,776,NA,NA,Desktop
DG1301SML87HY,8,3624,727,NA,NA,Mobile/Embedded
AMD Athlon X4 850,4,3366,1575,65,NA,Desktop
ARM - 8 Core 1800 MHz,8,3292,1016,NA,NA,Server
AMD FX-870K Quad Core,2,3227,1470,NA,NA,Desktop
ZHAOXIN KaiXian KX-U6580@2.5GHz,8,3227,745,NA,NA,Desktop
AMD Athlon X4 750K Quad Core,2,2861,1465,100,NA,Desktop
Intel Core 860 @ 2.80GHz,4,2754,1142,NA,NA,Desktop
ARM Cortex-A76 4 Core 3100 MHz,4,2610,1328,NA,NA,Mobile/Embedded
Intel Core i3-2140 @ 3.50GHz,2,2307,1535,65,NA,Desktop
ARM Cortex-A72 4 Core 2208 MHz,4,2290,623,NA,NA,Mobile/Embedded
ARM - 8 Core 2208 MHz,8,2270,607,NA,NA,Server
ARM Kryo-3XX-Gold 4 Core 1766 MHz,4,2222,877,NA,NA,Mobile/Embedded
Intel Core i3-21050 @ 3.10GHz,2,2193,1429,NA,NA,Desktop
ARM Cortex-A72 4 Core 2016 MHz,4,2186,614,NA,NA,Mobile/Embedded
AMD Athlon X4 640,4,2115,1224,95,NA,Desktop
AMD Athlon X4 620,4,1810,1033,95,NA,Desktop
AMD Athlon X3 455,3,1783,1227,95,NA,Desktop
AMD Athlon X3 435,3,1781,1192,95,NA,Desktop
HP Hexa-Core 2.0GHz,4,1741,804,NA,NA,Laptop
AMD Athlon X3 445,3,1626,1270,95,NA,Desktop
,,,,,NA,
Z3-6540M@2.1GHz,4,1599,788,NA,NA,Desktop
ZHAOXIN KaiXian KX-6640MA@2.2+GHz,4,1561,733,70,NA,Desktop
ZHAOXIN KaiXian ZX-C+ C4700@2.0GHz,4,1547,556,NA,NA,Laptop
AMD Athlon X3 425,3,1516,845,95,NA,Desktop
AMD Athlon X2 370K Dual Core,1,1504,1514,65,NA,Desktop
ZHAOXIN KaiXian ZX-D D4600@2.0GHz,4,1492,602,NA,NA,Desktop
ARM Cortex-A76 4 Core 1500 MHz,4,1488,649,NA,NA,Mobile/Embedded
Pentium Dual-Core E6000 @ 3.46GHz,2,1472,1542,NA,NA,Desktop
AMD Athlon X3 440,3,1438,1129,95,NA,Desktop
AMD E1-6050J APU,2,1385,787,10,NA,Mobile/Embedded
VIA QuadCore C4650@2.0GHz,4,1352,559,NA,NA,Mobile/Embedded
AMD Athlon X2 280,2,1327,1258,65,NA,Desktop
ARM Cortex-A73 6 Core 1896 MHz,6,1242,483,NA,NA,Mobile/Embedded
AMD Athlon II X2 B26,2,1206,1266,65,NA,Desktop
DO-Regular,1,1070,1277,NA,NA,Desktop
